"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"NPS Eesti"
"1680901200";"08.04.2023 00:00";"54,4"
"1680904800";"08.04.2023 01:00";"42,88"
"1680908400";"08.04.2023 02:00";"43,61"
"1680912000";"08.04.2023 03:00";"44,16"
"1680915600";"08.04.2023 04:00";"45,4"
"1680919200";"08.04.2023 05:00";"46,44"
"1680922800";"08.04.2023 06:00";"47,85"
"1680926400";"08.04.2023 07:00";"47,4"
"1680930000";"08.04.2023 08:00";"47,98"
"1680933600";"08.04.2023 09:00";"50,97"
"1680937200";"08.04.2023 10:00";"53,68"
"1680940800";"08.04.2023 11:00";"56,27"
"1680944400";"08.04.2023 12:00";"52,99"
"1680948000";"08.04.2023 13:00";"50,1"
"1680951600";"08.04.2023 14:00";"48,91"
"1680955200";"08.04.2023 15:00";"47,99"
"1680958800";"08.04.2023 16:00";"51,77"
"1680962400";"08.04.2023 17:00";"59,17"
"1680966000";"08.04.2023 18:00";"66,04"
"1680969600";"08.04.2023 19:00";"70,51"
"1680973200";"08.04.2023 20:00";"72,23"
"1680976800";"08.04.2023 21:00";"67,81"
